bolge,sehir,lat,lon
Ic Anadolu,Konya,37.87,32.49
Ic Anadolu,Ankara,39.92,32.85
Ic Anadolu,Eskisehir,39.77,30.52
Ic Anadolu,Kayseri,38.72,35.49
Ic Anadolu,Sivas,39.74,37.01
Dogu Anadolu,Erzurum,39.9,41.27
Dogu Anadolu,Malatya,38.35,38.31
Dogu Anadolu,Bitlis,38.4,42.12
Dogu Anadolu,Van,38.49,43.38
Dogu Anadolu,Agri,39.72,43.05
Guneydogu Anadolu,Diyarbakir,37.91,40.23
Guneydogu Anadolu,Sanliurfa,37.16,38.79
Guneydogu Anadolu,Gaziantep,37.06,37.38
Ege,Izmir,38.41,27.13
Ege,Afyon,38.75,30.54
Marmara,Tekirdag,40.97,27.51
Marmara,Edirne,41.67,26.55
Akdeniz,Adana,37.0,35.32
Karadeniz,Samsun,41.28,36.33
Karadeniz,Tokat,40.31,36.55
